,pid,age,sex,sleep,sit-stand,walking,mixed,vehicle,bicycling
0,P001,38-52,F,2742.0,2081.0,558.0,1383.0,588.0,
1,P002,30-37,F,2160.0,2073.0,399.0,724.0,,230.0
2,P003,30-37,F,1980.0,1384.0,394.0,1212.0,850.0,
3,P004,53+,F,720.0,3828.0,261.0,329.0,408.0,
4,P005,38-52,F,2220.0,2622.0,735.0,665.0,515.0,88.0
5,P006,18-29,F,4800.0,2412.0,142.0,816.0,,
6,P007,53+,M,2820.0,2234.0,1014.0,1298.0,,87.0
7,P008,53+,F,2699.0,2874.0,320.0,633.0,,
8,P009,53+,F,720.0,853.0,174.0,157.0,297.0,
9,P010,18-29,F,2088.0,3783.0,105.0,248.0,,
10,P011,18-29,F,2940.0,1945.0,148.0,614.0,324.0,
11,P012,53+,F,2550.0,2309.0,1404.0,398.0,100.0,
12,P013,38-52,M,1680.0,3819.0,254.0,212.0,54.0,158.0
13,P014,30-37,F,2520.0,3746.0,219.0,450.0,,
14,P015,18-29,F,2460.0,1943.0,221.0,644.0,133.0,
15,P016,18-29,M,1674.0,3083.0,415.0,553.0,,
16,P017,38-52,F,2340.0,2452.0,408.0,1271.0,268.0,
17,P018,38-52,F,1320.0,2287.0,74.0,106.0,163.0,
18,P019,38-52,F,3120.0,2279.0,273.0,594.0,213.0,169.0
19,P020,18-29,M,1140.0,2442.0,165.0,177.0,786.0,
20,P021,30-37,M,1800.0,1901.0,508.0,569.0,1479.0,11.0
21,P022,18-29,F,4140.0,2969.0,540.0,781.0,128.0,
22,P023,18-29,F,2760.0,1343.0,177.0,571.0,653.0,
23,P024,53+,F,2754.0,1560.0,1007.0,1390.0,453.0,
24,P025,38-52,M,2460.0,3832.0,404.0,243.0,,70.0
25,P026,18-29,F,1980.0,3121.0,397.0,427.0,,
26,P027,30-37,F,2400.0,1928.0,552.0,1159.0,84.0,
27,P028,38-52,F,3150.0,1252.0,75.0,333.0,,114.0
28,P029,53+,M,1860.0,3194.0,123.0,530.0,101.0,
29,P030,53+,M,2700.0,3874.0,406.0,724.0,,
30,P031,30-37,F,2520.0,2149.0,238.0,445.0,,94.0
31,P032,30-37,M,2940.0,2690.0,634.0,37.0,,645.0
32,P033,18-29,F,2640.0,2765.0,414.0,1160.0,454.0,
33,P034,30-37,M,2016.0,2248.0,242.0,165.0,,
34,P035,38-52,F,2370.0,1755.0,451.0,1215.0,924.0,
35,P036,30-37,M,539.0,1327.0,510.0,2395.0,547.0,
36,P037,30-37,F,3480.0,1525.0,266.0,685.0,224.0,
37,P038,18-29,F,2820.0,1844.0,281.0,1258.0,245.0,
38,P039,53+,M,1080.0,1943.0,555.0,1363.0,,
39,P040,18-29,M,1710.0,3297.0,468.0,476.0,55.0,
40,P041,30-37,M,2160.0,2028.0,635.0,756.0,173.0,
41,P042,30-37,M,2580.0,3184.0,12.0,366.0,,
42,P043,38-52,F,2130.0,1907.0,399.0,1661.0,211.0,164.0
43,P044,18-29,M,1920.0,2352.0,202.0,112.0,,195.0
44,P045,38-52,M,1620.0,1879.0,212.0,809.0,599.0,
45,P046,38-52,F,2064.0,1601.0,205.0,1411.0,296.0,
46,P047,18-29,F,1080.0,4257.0,229.0,335.0,,151.0
47,P048,53+,F,1530.0,1997.0,376.0,486.0,363.0,
48,P049,30-37,F,2820.0,4148.0,149.0,207.0,,
49,P050,18-29,M,1620.0,4052.0,440.0,85.0,,
50,P051,30-37,F,1740.0,3714.0,68.0,183.0,,
51,P052,38-52,F,1620.0,200.0,385.0,128.0,2539.0,
52,P053,53+,M,1920.0,4175.0,354.0,369.0,957.0,
53,P054,38-52,F,3810.0,2725.0,330.0,1690.0,112.0,122.0
54,P055,38-52,M,1686.0,2831.0,371.0,987.0,378.0,
55,P056,30-37,F,1530.0,3609.0,459.0,718.0,371.0,
56,P057,53+,M,1770.0,3116.0,266.0,552.0,83.0,
57,P058,53+,F,3420.0,1553.0,377.0,533.0,,432.0
58,P059,30-37,F,2466.0,1300.0,566.0,870.0,473.0,
59,P060,30-37,F,2843.0,1032.0,204.0,876.0,78.0,
60,P061,30-37,F,2520.0,2087.0,182.0,869.0,89.0,120.0
61,P062,53+,M,1620.0,2821.0,793.0,56.0,784.0,
62,P063,38-52,F,1860.0,2835.0,387.0,50.0,,240.0
63,P064,53+,M,2520.0,2374.0,618.0,654.0,182.0,
64,P065,30-37,F,2358.0,2020.0,269.0,1400.0,,
65,P066,18-29,M,3180.0,1806.0,448.0,2275.0,11.0,63.0
66,P067,53+,F,2580.0,3015.0,250.0,143.0,,50.0
67,P068,18-29,M,2160.0,3412.0,324.0,513.0,89.0,94.0
68,P069,53+,M,2160.0,1566.0,292.0,923.0,399.0,
69,P070,30-37,F,3360.0,757.0,249.0,2281.0,,
70,P071,38-52,F,2220.0,2384.0,250.0,20.0,,
71,P072,18-29,F,2970.0,1985.0,133.0,1509.0,,97.0
72,P073,38-52,F,3450.0,2909.0,566.0,115.0,407.0,
73,P074,18-29,F,4260.0,465.0,307.0,505.0,41.0,
74,P075,18-29,M,2700.0,1449.0,240.0,268.0,,40.0
75,P076,53+,M,2400.0,1682.0,378.0,2148.0,,673.0
76,P077,38-52,F,1555.0,2641.0,181.0,372.0,15.0,
77,P078,30-37,F,3240.0,3588.0,453.0,220.0,,
78,P079,38-52,F,1980.0,2606.0,215.0,270.0,,305.0
79,P080,30-37,M,2700.0,2651.0,596.0,1625.0,,
80,P081,53+,F,1680.0,900.0,349.0,171.0,359.0,
81,P082,30-37,M,1740.0,2705.0,342.0,490.0,,465.0
82,P083,53+,M,1470.0,3054.0,208.0,164.0,,716.0
83,P084,30-37,F,3414.0,2958.0,128.0,271.0,,
84,P085,53+,F,1680.0,2516.0,272.0,1524.0,155.0,
85,P086,18-29,F,2760.0,2804.0,393.0,282.0,244.0,
86,P087,38-52,F,2100.0,2607.0,518.0,21.0,626.0,
87,P088,18-29,M,2070.0,1303.0,355.0,75.0,391.0,
88,P089,30-37,F,1860.0,2961.0,509.0,735.0,135.0,125.0
89,P090,38-52,F,1080.0,3206.0,305.0,1574.0,424.0,
90,P091,18-29,M,3180.0,3020.0,309.0,159.0,,84.0
91,P092,53+,F,1680.0,3933.0,174.0,94.0,,174.0
92,P093,30-37,F,2580.0,3250.0,392.0,735.0,479.0,
93,P094,18-29,F,,1910.0,214.0,42.0,,
94,P095,38-52,F,2460.0,506.0,422.0,71.0,356.0,
95,P096,18-29,F,1920.0,3725.0,551.0,156.0,654.0,
96,P097,18-29,M,2954.0,3471.0,302.0,438.0,,
97,P098,53+,M,2970.0,2559.0,613.0,323.0,1004.0,
98,P099,53+,M,1560.0,2877.0,408.0,738.0,40.0,382.0
99,P100,30-37,F,3660.0,1114.0,759.0,2451.0,17.0,
100,P101,53+,F,2484.0,2219.0,491.0,1360.0,195.0,142.0
101,P102,38-52,M,2340.0,1930.0,188.0,287.0,,165.0
102,P103,18-29,M,2160.0,3600.0,264.0,686.0,,
103,P104,18-29,F,2700.0,2862.0,310.0,290.0,,163.0
104,P105,18-29,F,1950.0,2504.0,108.0,1159.0,,
105,P106,18-29,F,2640.0,970.0,133.0,444.0,37.0,142.0
106,P107,38-52,F,1920.0,2585.0,348.0,932.0,,
107,P108,38-52,M,1680.0,1702.0,892.0,1078.0,455.0,
108,P109,18-29,F,2220.0,3503.0,284.0,333.0,,
109,P110,18-29,F,2520.0,3719.0,546.0,153.0,219.0,
110,P111,53+,M,2856.0,3807.0,489.0,355.0,154.0,
111,P112,18-29,F,2160.0,702.0,64.0,42.0,,81.0
112,P113,18-29,F,2580.0,2829.0,436.0,467.0,413.0,117.0
113,P114,38-52,F,2820.0,1484.0,779.0,1807.0,33.0,
114,P115,30-37,F,2580.0,2371.0,251.0,493.0,,
115,P116,18-29,M,2040.0,2224.0,343.0,631.0,808.0,
116,P117,53+,F,1830.0,1082.0,280.0,1133.0,651.0,
117,P118,38-52,F,1680.0,1304.0,72.0,708.0,,
118,P119,53+,M,1536.0,2015.0,283.0,798.0,1410.0,
119,P120,38-52,F,1080.0,3378.0,212.0,159.0,146.0,
120,P121,38-52,F,2160.0,2195.0,1180.0,2166.0,,
121,P122,53+,F,1080.0,2198.0,552.0,238.0,142.0,
122,P123,18-29,M,1620.0,1882.0,493.0,742.0,491.0,
123,P124,30-37,F,1860.0,2923.0,202.0,1187.0,,
124,P125,53+,F,3096.0,2717.0,236.0,1390.0,289.0,
125,P126,30-37,M,2040.0,2992.0,453.0,233.0,561.0,
126,P127,18-29,F,1260.0,3092.0,276.0,670.0,49.0,
